issuer_id,transaction_count,true_fraud_rate,observed_fraud_rate,corrected_fraud_rate,authorization_rate,reporting_rate,maturity_rate,blindspot_multiplier
ISSUER_010,20000,0.0103,0.0032,0.018561489601000982,0.8663,0.08594020547154566,0.3364674278038952,5.800465500312806
ISSUER_007,19935,0.012691246551291698,0.003912716328066215,0.021908912144987074,0.8681213945322297,0.10088986478677915,0.3281786941580756,5.599412353978427
ISSUER_005,19998,0.0112011201120112,0.0038503850385038503,0.021241459569717215,0.8662366236623662,0.12284246377648213,0.3190789473684211,5.516710499677985
ISSUER_048,19908,0.010598754269640345,0.007183041993168575,0.03256970323360366,0.8705043198714085,0.10005770340450086,0.6361014994232987,4.534249314507565
ISSUER_004,20090,0.011249377799900448,0.003434544549527128,0.01416119601897876,0.870980587356894,0.1013258658132358,0.32374506486181615,4.123165623496859
ISSUER_003,19986,0.012308616031221855,0.003602521765235665,0.014011866940575475,0.8675572901030721,0.09141242286175673,0.3362776025236593,3.8894607315880756
ISSUER_032,20156,0.01195673744790633,0.005110140900972416,0.017715370575239784,0.8719487993649534,0.0627027027027027,0.6388384754990926,3.4667088282964373
ISSUER_008,19865,0.010269317895796628,0.0024666498867354646,0.008157650859488006,0.8645356154039768,0.08600209619191801,0.3107650643195667,3.307178251504678
ISSUER_018,19912,0.00929087987143431,0.007282040980313379,0.023883565595719008,0.868521494576135,0.10373539956054123,0.6025641025641025,3.279790056151427
ISSUER_035,20012,0.012292624425344793,0.006546072356586048,0.02056869409170899,0.8688786727963222,0.09236254888428802,0.6145703611457036,3.1421427951395446
ISSUER_023,19888,0.011866452131938857,0.005430410297666935,0.016200000892677795,0.8643905872888173,0.07660985399336863,0.6180713743356112,2.983200164384963
ISSUER_027,20044,0.010227499501097585,0.0055877070445020955,0.016433226734352265,0.8667431650369187,0.0950325217291199,0.5984251968503937,2.9409606844942573
ISSUER_036,20040,0.009530938123752495,0.005339321357285429,0.014805765061063035,0.8678642714570858,0.0750919963201472,0.6332312404287902,2.7729675871374133
ISSUER_001,19868,0.012281054962754178,0.0038252466277431045,0.010588640200689026,0.8676263338031005,0.12681285531964265,0.338060384263495,2.7680934672011785
ISSUER_037,19890,0.011211664152840623,0.00522875816993464,0.014004451421664335,0.8686777275012569,0.07657136242620674,0.6250944822373394,2.6783513343933043
ISSUER_020,20010,0.011094452773613194,0.004547726136931534,0.01213336544767797,0.867016491754123,0.07510519338290392,0.624712202609363,2.668007061626771
ISSUER_013,20217,0.0121185141217787,0.00484740564871148,0.011500091321336054,0.8667952713063264,0.07852088564254736,0.6286337209302325,2.3724219004433778
ISSUER_017,19968,0.009515224358974358,0.006610576923076923,0.015411746941443498,0.8640324519230769,0.109314322146873,0.6431601272534464,2.331376991869271
ISSUER_045,19739,0.011094786969957951,0.0068899133694716045,0.01545094044599204,0.8647854501241198,0.10023432923257176,0.6335476329631794,2.242544951937036
ISSUER_043,20009,0.01059523214553451,0.006597031335898846,0.014782052238943869,0.8699585186666,0.10524501637272361,0.6037117903930131,2.2407127518865746
ISSUER_021,20149,0.010670504739689314,0.005459328006352673,0.011621732201568018,0.8687776068291231,0.0832904884318766,0.6117969821673526,2.128784382994491
ISSUER_047,19967,0.011569088996844794,0.006660990634547003,0.013538969160586969,0.8690839885811589,0.11340978505157609,0.5970528455284553,2.032575919018346
ISSUER_031,19915,0.010092894802912377,0.005774541802661311,0.01117173106433399,0.8713030379111223,0.098144306131858,0.6400469759248385,1.934652383880099
ISSUER_041,20127,0.010731852735131912,0.008297312068365877,0.015514106001021126,0.8662990013414816,0.12933012158752008,0.6376940133037694,1.8697749190571988
ISSUER_022,20097,0.011046424839528288,0.0061203164651440515,0.011292270340395436,0.87072697417525,0.10046288359334819,0.621160409556314,1.8450468051294884
ISSUER_016,20139,0.01047718357415959,0.006008242713143651,0.010935720290659381,0.8642931625204826,0.10410203378145468,0.6214128035320088,1.8201195944924735
ISSUER_030,20093,0.010998855322749216,0.00617130343900861,0.011022629253697876,0.8669685960284677,0.09862227324913891,0.6286379511059371,1.7861103999560597
ISSUER_006,20410,0.010828025477707006,0.0026457618814306715,0.0044770415174659765,0.8696227339539442,0.07532818750352133,0.3365744203440538,1.6921558772496403
ISSUER_025,19995,0.011202800700175044,0.004051012753188297,0.006677842414567242,0.8686171542885721,0.06684707508060801,0.5977605512489234,1.6484377664107657
ISSUER_040,20006,0.010246925922223333,0.008547435769269219,0.01346361416441195,0.8716884934519644,0.13836802568954643,0.6307501036054703,1.5751641226504414
ISSUER_033,20097,0.011195700850873265,0.006518385828730656,0.00994903612141515,0.8691844553913519,0.10184337073505839,0.6222596964586846,1.5263036559700784
ISSUER_039,19979,0.009810300815856649,0.005405675959757746,0.007100755695752018,0.8657590469993494,0.09261721685841476,0.653558052434457,1.3135740559761997
ISSUER_046,19946,0.011882081620375013,0.004762859721247368,0.005794295032355028,0.8691466960794144,0.07637286571296724,0.6170694864048338,1.216557986477404
ISSUER_011,19893,0.010204594581008395,0.00864625747750465,0.010425273733991212,0.870004524204494,0.1514993933090657,0.6197559115179252,1.2057556418039952
ISSUER_002,19961,0.011271980361705325,0.002554982215319874,0.0027811024266432218,0.8653875056359902,0.08249392150052101,0.3375438596491228,1.0885016772201048
ISSUER_034,19925,0.011041405269761606,0.0046675031367628605,0.0050786465119580316,0.8698117942283563,0.06745138768680399,0.6159110350727117,1.0880863629114386
ISSUER_012,19901,0.01145671071805437,0.0059293502839053314,0.00638374442251831,0.8708607607657907,0.10634123824360972,0.6212696690179056,1.0766347267164142
ISSUER_042,19844,0.010582543841967345,0.006248740173352147,0.005888967251226134,0.871144930457569,0.10661190489963557,0.6006511123168746,0.9424247268817048
ISSUER_050,19985,0.011308481361020766,0.006104578433825369,0.005576471049219494,0.8756067050287716,0.09869135379164523,0.6253618992472496,0.9134899501528819
ISSUER_028,20121,0.01053625565329755,0.004671735997216838,0.0030332347903449823,0.867004622036678,0.07790197764402408,0.5923473142016188,0.6492735874099084
ISSUER_019,19988,0.012057234340604362,0.004902941765059035,0.002298901977928628,0.865319191514909,0.08429694727104532,0.6323731138545954,0.46888217076364713
ISSUER_049,19987,0.010756992044829139,0.005903837494371341,0.0019557512135472753,0.8681142742782809,0.1025301135381246,0.6183249016301293,0.3312677924166898
ISSUER_038,19945,0.010177989471045375,0.0061669591376284786,0.0,0.8730007520681875,0.11446129106363427,0.6241846462619167,0.0
ISSUER_029,20030,0.012481278082875686,0.00673989016475287,0.0,0.8747378931602596,0.11112379430397808,0.610683102208526,0.0
ISSUER_024,19827,0.01170121551419781,0.003833156806375145,0.0,0.8693700509406365,0.06596275453965307,0.613896218117854,0.0
ISSUER_044,19961,0.011472371123691198,0.0065627974550373225,0.0,0.8680426832323029,0.12650776245166503,0.6208941605839416,0.0
ISSUER_015,19959,0.011072699033017686,0.006312941530136781,0.0,0.8661756601032116,0.09925960203609441,0.6247086247086248,0.0
ISSUER_014,19939,0.011986559004965144,0.006218967851948443,0.0,0.870655499272782,0.11647465437788018,0.6275964391691394,0.0
ISSUER_009,20169,0.011006990926669642,0.003173186573454311,0.0,0.8673211363974416,0.10604241696678672,0.34393530997304583,0.0
ISSUER_026,20110,0.010691198408751865,0.007956240676280457,0.0,0.8726006961710592,0.14383405516298153,0.6275752773375595,0.0
